County,Data Year,Population,Z Score
San Bernardino    ,2013,2085599,0.14493459984336068
San Diego           ,2013,3190323,0.35887017524404746
San Francisco,2013,839556,-0.0963681383781299
San Joaquin,2013,705545,-0.1223200688105469
San Luis Obispo     ,2013,275482,-0.2056040160802229
San Mateo           ,2013,745842,-0.11451634418618689
Santa Barbara       ,2013,432485,-0.17519956470174827
Santa Clara         ,2013,1861489,0.10153452724328328
Santa Cruz          ,2013,269714,-0.20672101942124851
Shasta              ,2013,180106,-0.22407407687315933
Sierra              ,2013,3225,-0.2583280068253002
Siskiyou            ,2013,44726,-0.2502911213093669
Solano              ,2013,423373,-0.1769641511170439
Sonoma              ,2013,492751,-0.16352873887819613
Stanislaus          ,2013,525173,-0.15725004915511503
State Total,2013,38237859,7.1460086646190275
Sutter              ,2013,94496,-0.2406529007332844
Tehama              ,2013,63257,-0.24670249632452895
Trinity             ,2013,14442,-0.2561557761602024
Tulare              ,2013,453530,-0.1711240904798544
Tuolumne            ,2013,55109,-0.2482803991023855
Ventura             ,2013,841501,-0.0959914789644172
Yolo                ,2013,206386,-0.21898481754546295
Yuba                ,2013,74114,-0.24459998154063248
Alameda             ,2014,1597747,0.05045951074384276
Amador              ,2014,37089,-0.2517700662669627
Butte               ,2014,225737,-0.21523739527566643
Calaveras           ,2014,45461,-0.2501487847185809
Colusa              ,2014,21442,-0.25480018958128786
Contra Costa        ,2014,1104732,-0.045015420285237445
Del Norte,2014,27341,-0.253657817405714
El Dorado           ,2014,180132,-0.22406904183729479
Fresno              ,2014,959645,-0.0731122759959484
Glenn               ,2014,27946,-0.2535406559942507
Humboldt            ,2014,135895,-0.23263576805035813
Imperial            ,2014,178471,-0.22439070316694867
Inyo                ,2014,18771,-0.25531744268875656
Kern                ,2014,867021,-0.09104939760814584
Kings               ,2014,148974,-0.23010295135526906
Lake                ,2014,66484,-0.24607757091164933
Lassen              ,2014,32908,-0.2525797387650258
Los Angeles ,2014,10037944,1.684947764543118
Madera              ,2014,152067,-0.22950397574261439
Marin               ,2014,261931,-0.20822823804177593
Mariposa            ,2014,17865,-0.2554928943231132
Mendocino           ,2014,89569,-0.2416070400296147
Merced              ,2014,264670,-0.20769781637896922
Modoc               ,2014,9312,-0.2571492274673212
Mono                ,2014,13712,-0.2562971444748606
Monterey            ,2014,427425,-0.17617946014307792
Napa                ,2014,140114,-0.23181873665372377
Nevada              ,2014,99490,-0.23968578653684164
Orange              ,2014,3125985,0.3464107853420182
Placer              ,2014,369910,-0.18731754044111662
Plumas              ,2014,19120,-0.2552498570150364
Riverside           ,2014,2280208,0.18262164963421548
Sacramento,2014,1476829,0.027043108179672662
San Benito  ,2014,58212,-0.24767948693747524
San Bernardino    ,2014,2096526,0.14705067049304632
San Diego           ,2014,3219710,0.36456112135755636
San Francisco,2014,846661,-0.09499221800053162
San Joaquin,2014,712387,-0.1209950797572707
San Luis Obispo     ,2014,278272,-0.20506371800091266
San Mateo           ,2014,751906,-0.11334201889839576
Santa Barbara       ,2014,437066,-0.17431243011346145
Santa Clara         ,2014,1883691,0.10583406056114915
Santa Cruz          ,2014,271559,-0.20636372553009175
Shasta              ,2014,180826,-0.2239346451107567
Sierra              ,2014,3218,-0.25832936241187915
Siskiyou            ,2014,44674,-0.25030119138109597
Solano              ,2014,428671,-0.17593816573203114
Sonoma              ,2014,496615,-0.1627804550866353
