Data Year,County,Average PM 2.5/County,Number of Site IDs/County
2011,Santa Barbara,8.659024390243902,3.0
2011,Santa Clara,10.108514335360555,3.0
2011,Santa Cruz,6.463841807909604,1.0
2011,Shasta,4.206785714285715,4.0
2011,Siskiyou,3.518934911242604,2.0
2011,Solano,10.2590618336887,1.0
2011,Sonoma,8.615254237288136,1.0
2011,Stanislaus,15.62760736196319,2.0
2011,Sutter,11.106499261447563,1.0
2011,Tehama,11.336825396825397,1.0
2011,Trinity,12.665338645418327,2.0
2011,Tulare,15.753663570691433,3.0
2011,Ventura,8.696450939457204,4.0
2011,Yolo,11.857073170731706,2.0
2012,Alameda,7.708417508417509,3.0
2012,Alpine,10.645833333333334,1.0
2012,Butte,9.538309352517986,4.0
2012,Calaveras,6.960833333333333,1.0
2012,Colusa,10.620223152022316,2.0
2012,Contra Costa,6.726349206349207,2.0
2012,Del Norte,2.6663793103448277,1.0
2012,El Dorado,2.677586206896552,1.0
2012,Fresno,12.62732368052312,7.0
2012,Glenn,8.182633053221288,1.0
2012,Humboldt,6.540776699029126,3.0
2012,Imperial,11.118478260869566,3.0
2012,Inyo,6.428352490421456,2.0
2012,Kern,12.346002805049087,6.0
2012,Kings,14.876041666666666,2.0
2012,Lake,3.9166666666666665,1.0
2012,Los Angeles,12.577220239344951,14.0
2012,Madera,12.11123595505618,2.0
2012,Marin,7.324890829694324,2.0
2012,Mariposa,8.250101419878296,2.0
2012,Mendocino,6.01564945226917,2.0
2012,Merced,10.903863636363637,2.0
2012,Mono,2.43,1.0
2012,Monterey,5.619803746654773,3.0
2012,Napa,9.702380952380953,1.0
2012,Nevada,5.420338983050848,2.0
2012,Orange,12.024913892078072,2.0
2012,Placer,7.235815147625161,2.0
2012,Plumas,12.074157303370788,2.0
2012,Riverside,12.516485467051254,11.0
2012,Sacramento,8.351302083333334,3.0
2012,San Benito,4.541577825159915,2.0
2012,San Bernardino,11.1203125,9.0
2012,San Diego,10.510927487352445,10.0
2012,San Francisco,8.144736842105264,1.0
2012,San Joaquin,10.054600301659125,3.0
2012,San Luis Obispo,7.450491573033708,4.0
2012,San Mateo,8.386233766233765,1.0
2012,Santa Barbara,7.447965474722565,3.0
2012,Santa Clara,8.192281303602059,3.0
2012,Santa Cruz,5.7788571428571425,1.0
2012,Shasta,4.83731884057971,4.0
2012,Siskiyou,4.500561797752809,2.0
2012,Solano,8.643614457831324,1.0
2012,Sonoma,8.193567251461987,1.0
2012,Stanislaus,13.16359163591636,2.0
2012,Sutter,8.449154929577464,1.0
2012,Tehama,8.310481586402267,1.0
2012,Trinity,13.40735632183908,2.0
2012,Tulare,14.055168776371307,3.0
2012,Ventura,9.390898203592814,5.0
2012,Yolo,8.603588516746411,2.0
