Data Year,County,Fuel Category,Number of Vehicles
2014,Santa Barbara,Fossil Fuel,268208
2014,Santa Clara,EV,16156
2014,Santa Clara,Fossil Fuel,1204964
2014,Santa Cruz,EV,1090
2014,Santa Cruz,Fossil Fuel,176901
2014,Shasta,EV,97
2014,Shasta,Fossil Fuel,121875
2014,Sierra,EV,1
2014,Sierra,Fossil Fuel,2839
2014,Siskiyou,EV,20
2014,Siskiyou,Fossil Fuel,35444
2014,Solano,EV,767
2014,Solano,Fossil Fuel,274494
2014,Sonoma,EV,1821
2014,Sonoma,Fossil Fuel,343411
2014,Stanislaus,EV,238
2014,Stanislaus,Fossil Fuel,307763
2014,Sutter,EV,34
2014,Sutter,Fossil Fuel,59875
2014,Tehama,EV,22
2014,Tehama,Fossil Fuel,41992
2014,Trinity,EV,5
2014,Trinity,Fossil Fuel,10958
2014,Tulare,EV,126
2014,Tulare,Fossil Fuel,244945
2014,Tuolumne,EV,26
2014,Tuolumne,Fossil Fuel,44410
2014,Ventura,EV,2243
2014,Ventura,Fossil Fuel,557822
2014,Yolo,EV,498
2014,Yolo,Fossil Fuel,117003
2014,Yuba,EV,31
2014,Yuba,Fossil Fuel,42531
2015,Alameda,EV,13197
2015,Alameda,Fossil Fuel,962566
2015,Alpine,EV,3
2015,Alpine,Fossil Fuel,2713
2015,Amador,EV,44
2015,Amador,Fossil Fuel,32765
2015,Butte,EV,178
2015,Butte,Fossil Fuel,139988
2015,Calaveras,EV,53
2015,Calaveras,Fossil Fuel,42461
2015,Colusa,EV,6
2015,Colusa,Fossil Fuel,15531
2015,Contra Costa,EV,6769
2015,Contra Costa,Fossil Fuel,730630
2015,Del Norte,EV,26
2015,Del Norte,Fossil Fuel,16035
2015,El Dorado,EV,679
2015,El Dorado,Fossil Fuel,137350
2015,Fresno,EV,1306
2015,Fresno,Fossil Fuel,530921
2015,Glenn,EV,11
2015,Glenn,Fossil Fuel,19773
2015,Humboldt,EV,455
2015,Humboldt,Fossil Fuel,94136
2015,Imperial,EV,42
2015,Imperial,Fossil Fuel,122830
2015,Inyo,EV,12
2015,Inyo,Fossil Fuel,15536
2015,Kern,EV,684
2015,Kern,Fossil Fuel,481923
2015,Kings,EV,45
2015,Kings,Fossil Fuel,74305
2015,Lake,EV,90
2015,Lake,Fossil Fuel,51696
2015,Lassen,EV,6
2015,Lassen,Fossil Fuel,19393
2015,Los Angeles,EV,42952
2015,Los Angeles,Fossil Fuel,5919211
2015,Madera,EV,138
2015,Madera,Fossil Fuel,86283
2015,Marin,EV,2826
2015,Marin,Fossil Fuel,179826
2015,Mariposa,EV,13
2015,Mariposa,Fossil Fuel,16249
2015,Mendocino,EV,294
2015,Mendocino,Fossil Fuel,69993
2015,Merced,EV,153
2015,Merced,Fossil Fuel,147554
2015,Modoc,EV,1
2015,Modoc,Fossil Fuel,6621
2015,Mono,EV,8
2015,Mono,Fossil Fuel,9766
2015,Monterey,EV,794
2015,Monterey,Fossil Fuel,265100
2015,Napa,EV,627
2015,Napa,Fossil Fuel,97255
2015,Nevada,EV,204
2015,Nevada,Fossil Fuel,76456
2015,Orange,EV,19338
2015,Orange,Fossil Fuel,2015540
2015,Out Of State,EV,1047
2015,Out Of State,Fossil Fuel,515118
2015,Placer,EV,1356
2015,Placer,Fossil Fuel,261815
2015,Plumas,EV,6
2015,Plumas,Fossil Fuel,17197
2015,Riverside,EV,4510
2015,Riverside,Fossil Fuel,1359641
2015,Sacramento,EV,3358
2015,Sacramento,Fossil Fuel,886961
2015,San Benito,EV,143
2015,San Benito,Fossil Fuel,39647
2015,San Bernardino,EV,3506
2015,San Bernardino,Fossil Fuel,1236579
2015,San Diego,EV,12054
2015,San Diego,Fossil Fuel,2083973
2015,San Francisco,EV,4045
2015,San Francisco,Fossil Fuel,374022
2015,San Joaquin,EV,867
2015,San Joaquin,Fossil Fuel,422665
2015,San Luis Obispo,EV,766
2015,San Luis Obispo,Fossil Fuel,191906
2015,San Mateo,EV,6854
2015,San Mateo,Fossil Fuel,555410
2015,Santa Barbara,EV,1069
2015,Santa Barbara,Fossil Fuel,272577
2015,Santa Clara,EV,24812
2015,Santa Clara,Fossil Fuel,1222380
2015,Santa Cruz,EV,1702
2015,Santa Cruz,Fossil Fuel,178558
2015,Shasta,EV,144
2015,Shasta,Fossil Fuel,122772
2015,Sierra,EV,2
2015,Sierra,Fossil Fuel,2912
2015,Siskiyou,EV,28
2015,Siskiyou,Fossil Fuel,35994
2015,Solano,EV,1242
2015,Solano,Fossil Fuel,282424
2015,Sonoma,EV,2946
2015,Sonoma,Fossil Fuel,347000
2015,Stanislaus,EV,464
2015,Stanislaus,Fossil Fuel,316995
2015,Sutter,EV,48
2015,Sutter,Fossil Fuel,61151
2015,Tehama,EV,27
2015,Tehama,Fossil Fuel,41890
2015,Trinity,EV,10
2015,Trinity,Fossil Fuel,11050
2015,Tulare,EV,201
2015,Tulare,Fossil Fuel,251351
2015,Tuolumne,EV,42
