County,Data Year,Total Population,Total Population Z Score,Number of Gas Cars,Number of EV,Population_y,Z Score_y
Lake,2022,67597,-0.2458620326456019,63526,600,67597,-0.2458620326456019
Lassen,2022,29809,-0.2531798763090338,23115,44,29809,-0.2531798763090338
Los Angeles,2022,9861493,1.6507771063379677,6650471,282343,9861493,1.6507771063379677
Madera,2022,157040,-0.2285409283059083,113641,1241,157040,-0.2285409283059083
Marin,2022,255459,-0.2094815746615952,191793,15449,255459,-0.2094815746615952
Mariposa,2022,16988,-0.2556627299559286,17290,147,16988,-0.2556627299559286
Mendocino,2022,90227,-0.2414796148911967,81800,1346,90227,-0.2414796148911967
Merced,2022,284038,-0.2039471019703382,200238,2086,284038,-0.2039471019703382
Modoc,2022,8547,-0.257297373714874,7632,10,8547,-0.257297373714874
Mono,2022,12987,-0.256437544513391,11671,144,12987,-0.256437544513391
Monterey,2022,436033,-0.1745124759614641,319103,6379,436033,-0.1745124759614641
Napa,2022,135564,-0.2326998679300182,109871,4234,135564,-0.2326998679300182
Nevada,2022,101080,-0.2393778747282024,84769,1946,101080,-0.2393778747282024
Orange,2022,3158071,0.3526244069093114,2299018,134291,3158071,0.3526244069093114
Placer,2022,407539,-0.1800304879585486,328962,12350,407539,-0.1800304879585486
Plumas,2022,19254,-0.2552239072148114,18889,117,19254,-0.2552239072148114
Riverside,2022,2427832,0.2112098086521701,1765291,47681,2427832,0.2112098086521701
Sacramento,2022,1572254,0.0455226580786614,1107136,32416,1572254,0.0455226580786614
San Benito,2022,65642,-0.2462406286115702,53803,1485,65642,-0.2462406286115702
San Bernardino,2022,2179845,0.1631858302314152,1568171,36094,2179845,0.1631858302314152
San Diego,2022,3278730,0.3759906527700617,2446883,95024,3278730,0.3759906527700617
San Francisco,2022,840575,-0.096170803703285,386911,28011,840575,-0.096170803703285
San Joaquin,2022,782163,-0.1074825927386503,556150,12961,782163,-0.1074825927386503
San Luis Obispo,2022,279439,-0.204837722352685,222920,6929,279439,-0.204837722352685
San Mateo,2022,742051,-0.1152504911462819,567346,43165,742051,-0.1152504911462819
Santa Barbara,2022,443074,-0.1731489495183016,325288,8983,443074,-0.1731489495183016
Santa Clara,2022,1895752,0.1081697362366189,1289536,108243,1895752,0.1081697362366189
Santa Cruz,2022,264495,-0.2077317060434421,215275,8169,264495,-0.2077317060434421
Shasta,2022,180206,-0.2240547113506034,132514,1516,180206,-0.2240547113506034
Sierra,2022,3205,-0.2583318799298114,3537,18,3205,-0.2583318799298114
Siskiyou,2022,43571,-0.2505147930948878,44395,241,43571,-0.2505147930948878
Solano,2022,447027,-0.172383430411666,339309,9315,447027,-0.172383430411666
Sonoma,2022,479654,-0.1660650413673453,397389,15055,479654,-0.1660650413673453
Stanislaus,2022,548215,-0.1527878454477794,403896,5345,548215,-0.1527878454477794
Sutter,2022,99153,-0.2397510483478551,74337,885,99153,-0.2397510483478551
Tehama,2022,64942,-0.2463761872694616,56998,288,64942,-0.2463761872694616
Trinity,2022,15971,-0.2558596773203224,11910,63,15971,-0.2558596773203224
Tulare,2022,474624,-0.1670391271519081,330357,2826,474624,-0.1670391271519081
Tuolumne,2022,54500,-0.248398335134751,56034,495,54500,-0.248398335134751
Ventura,2022,831531,-0.0979222215632426,658712,23713,831531,-0.0979222215632426
Yolo,2022,220176,-0.2163143119850012,149982,5077,220176,-0.2163143119850012
Yuba,2022,82234,-0.2430275011090915,56190,689,82234,-0.2430275011090915
Alameda,2023,1650656,0.0607056150729556,1028698,97131,1650656,0.0607056150729556
Amador,2023,39924,-0.2512210537025023,40951,536,39924,-0.2512210537025023
Butte,2023,206579,-0.21894744208693,151420,2370,206579,-0.21894744208693
Calaveras,2023,44899,-0.2502576189553451,52304,703,44899,-0.2502576189553451
Colusa,2023,21831,-0.2547248576985453,19582,130,21831,-0.2547248576985453
Contra Costa,2023,1145274,-0.0371642501306154,825102,58560,1145274,-0.0371642501306154
Del Norte,2023,26586,-0.2538040271010112,19733,181,26586,-0.2538040271010112
El Dorado,2023,188067,-0.2225323876224823,162480,6272,188067,-0.2225323876224823
Fresno,2023,1010914,-0.0631837662367526,683686,14199,1010914,-0.0631837662367526
Glenn,2023,28330,-0.2534662923876359,24710,181,28330,-0.2534662923876359
Humboldt,2023,134597,-0.232887132533134,105041,2513,134597,-0.232887132533134
Imperial,2023,179623,-0.2241676123471044,170519,1197,179623,-0.2241676123471044
Inyo,2023,18890,-0.255294397716915,19463,238,18890,-0.255294397716915
Kern,2023,906165,-0.0834689574588556,597507,9647,906165,-0.0834689574588556
Kings,2023,151629,-0.2295887967314093,95631,1179,151629,-0.2295887967314093
Lake,2023,66698,-0.2460361286933796,63373,760,66698,-0.2460361286933796
Lassen,2023,28376,-0.2534573842472602,22157,61,28376,-0.2534573842472602
Los Angeles,2023,9819312,1.642608535268654,6514305,392463,9819312,1.642608535268654
Madera,2023,157909,-0.2283726419148974,114621,1739,157909,-0.2283726419148974
Marin,2023,253972,-0.2097695399820018,188135,19221,253972,-0.2097695399820018
Mariposa,2023,16968,-0.2556666030604398,18482,197,16968,-0.2556666030604398
Mendocino,2023,89556,-0.2416095575475469,80638,1638,89556,-0.2416095575475469
Merced,2023,285193,-0.2037234301848172,199940,2880,285193,-0.2037234301848172
Modoc,2023,8501,-0.2573062818552497,8221,16,8501,-0.2573062818552497
Mono,2023,13193,-0.2563976515369259,11831,198,13193,-0.2563976515369259
Monterey,2023,433953,-0.1749152788306273,326269,8505,433953,-0.1749152788306273
Napa,2023,134508,-0.2329043678482087,108285,5371,134508,-0.2329043678482087
Nevada,2023,100474,-0.2394952297948913,87433,2473,100474,-0.2394952297948913
Orange,2023,3141065,0.3493311061434513,2260910,180716,3141065,0.3493311061434513
Placer,2023,410085,-0.1795374417542748,329303,16898,410085,-0.1795374417542748
Plumas,2023,18993,-0.2552744512286823,20171,145,18993,-0.2552744512286823
Riverside,2023,2428580,0.2113546627608884,1758805,67446,2428580,0.2113546627608884
Sacramento,2023,1576639,0.0463718362427386,1100057,45098,1576639,0.0463718362427386
San Benito,2023,65165,-0.2463330021541619,54840,1935,65165,-0.2463330021541619
San Bernardino,2023,2172694,0.1618010017134412,1554788,51206,2172694,0.1618010017134412
San Diego,2023,3290423,0.3782550633225257,2419003,132113,3290423,0.3782550633225257
San Francisco,2023,842224,-0.0958514662363378,371509,37412,842224,-0.0958514662363378
San Joaquin,2023,783903,-0.1071456326461773,553941,19225,783903,-0.1071456326461773
San Luis Obispo,2023,279818,-0.2047643270221981,222023,9139,279818,-0.2047643270221981
San Mateo,2023,745302,-0.1146209180079888,543506,57455,745302,-0.1146209180079888
Santa Barbara,2023,442342,-0.173290705143411,323007,11894,442342,-0.173290705143411
Santa Clara,2023,1902799,0.1095344246111347,1288696,141417,1902799,0.1095344246111347
Santa Cruz,2023,263338,-0.2079557651394141,199421,10109,263338,-0.2079557651394141
Shasta,2023,179122,-0.2242646336151096,140884,2001,179122,-0.2242646336151096
Sierra,2023,3187,-0.2583353657238714,3722,25,3187,-0.2583353657238714
Siskiyou,2023,43479,-0.2505326093756392,41772,305,43479,-0.2505326093756392
Solano,2023,445506,-0.1726779800097416,336055,12809,445506,-0.1726779800097416
Sonoma,2023,479445,-0.1661055153094871,396054,19064,479445,-0.1661055153094871
Stanislaus,2023,545753,-0.1532646246131062,400864,7519,545753,-0.1532646246131062
Sutter,2023,98248,-0.2399263063269862,73888,1147,98248,-0.2399263063269862
Tehama,2023,64710,-0.2464211152817914,48496,398,64710,-0.2464211152817914
Trinity,2023,15944,-0.2558649060114125,11867,88,15944,-0.2558649060114125
Tulare,2023,474680,-0.1670282824592768,331744,3837,474680,-0.1670282824592768
Tuolumne,2023,54626,-0.2483739345763306,54369,698,54626,-0.2483739345763306
Ventura,2023,825960,-0.099001074824833,651851,31980,825960,-0.099001074824833
Yolo,2023,220454,-0.2162604758322958,152560,6757,220454,-0.2162604758322958
Yuba,2023,82814,-0.2429151810782672,57567,961,82814,-0.2429151810782672
