County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Amador,2014,37089,-0.2517700662669627,32377,21
Butte,2014,225737,-0.2152373952756664,138086,134
Calaveras,2014,45461,-0.2501487847185809,41952,40
Colusa,2014,21442,-0.2548001895812878,15222,4
Contra Costa,2014,1104732,-0.0450154202852374,715671,4233
Del Norte,2014,27341,-0.253657817405714,15688,19
El Dorado,2014,180132,-0.2240690418372947,135913,460
Fresno,2014,959645,-0.0731122759959484,516116,740
Glenn,2014,27946,-0.2535406559942507,19540,4
Humboldt,2014,135895,-0.2326357680503581,93068,221
Imperial,2014,178471,-0.2243907031669486,117294,27
Inyo,2014,18771,-0.2553174426887565,15352,9
Kern,2014,867021,-0.0910493976081458,471196,414
Kings,2014,148974,-0.230102951355269,72538,23
Lake,2014,66484,-0.2460775709116493,51366,56
Lassen,2014,32908,-0.2525797387650258,19019,5
Los Angeles,2014,10037944,1.684947764543118,5816774,28696
Madera,2014,152067,-0.2295039757426143,84033,85
Marin,2014,261931,-0.2082282380417759,180602,1866
Mariposa,2014,17865,-0.2554928943231132,16172,11
Mendocino,2014,89569,-0.2416070400296147,69253,130
Merced,2014,264670,-0.2076978163789692,143703,91
Modoc,2014,9312,-0.2571492274673212,6562,0
Mono,2014,13712,-0.2562971444748606,9677,6
Monterey,2014,427425,-0.1761794601430779,259198,509
Napa,2014,140114,-0.2318187366537237,95647,423
Nevada,2014,99490,-0.2396857865368416,76068,113
Orange,2014,3125985,0.3464107853420182,1991231,12690
Placer,2014,369910,-0.1873175404411166,258140,882
Plumas,2014,19120,-0.2552498570150364,17236,6
Riverside,2014,2280208,0.1826216496342154,1317751,2933
Sacramento,2014,1476829,0.0270431081796726,863881,2229
San Benito,2014,58212,-0.2476794869374752,38532,99
San Bernardino,2014,2096526,0.1470506704930463,1201860,2295
San Diego,2014,3219710,0.3645611213575563,2045488,8186
San Francisco,2014,846661,-0.0949922180005316,373808,2618
San Joaquin,2014,712387,-0.1209950797572707,409085,537
San Luis Obispo,2014,278272,-0.2050637180009126,189554,476
San Mateo,2014,751906,-0.1133420188983957,545796,4491
Santa Barbara,2014,437066,-0.1743124301134614,268208,755
Santa Clara,2014,1883691,0.1058340605611491,1204964,16156
Santa Cruz,2014,271559,-0.2063637255300917,176901,1090
Shasta,2014,180826,-0.2239346451107567,121875,97
Sierra,2014,3218,-0.2583293624118791,2839,1
Siskiyou,2014,44674,-0.2503011913810959,35444,20
Solano,2014,428671,-0.1759381657320311,274494,767
Sonoma,2014,496615,-0.1627804550866353,343411,1821
Stanislaus,2014,528123,-0.1566787662397153,307763,238
Sutter,2014,95103,-0.2405353520113699,59875,34
Tehama,2014,63067,-0.2467392908173852,41992,22
Trinity,2014,14692,-0.2561073623538126,10958,5
