County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
Nevada,2013,99116,-0.2397582135912007,81275.12,±0.4,74537,52
Orange,2013,3105236,0.3423926330668899,2366189.832,*****,1945863,6114
Placer,2013,365195,-0.1882306248296283,279008.98,±0.1,251830,387
Riverside,2013,2260809,0.1788649319135921,1641347.334,*****,1276953,1299
Sacramento,2013,1461786,0.0241299526215852,1097801.2859999998,*****,839193,1002
San Bernardino,2013,2085599,0.1449345998433606,1497460.082,*****,1167485,1003
San Diego,2013,3190323,0.3588701752440474,2459739.033,*****,2003012,4448
San Francisco,2013,839556,-0.0963681383781299,727055.496,±0.1,368001,1313
San Joaquin,2013,705545,-0.1223200688105469,503053.58499999996,±0.1,395126,218
San Luis Obispo,2013,275482,-0.2056040160802229,223966.86599999998,±0.4,185467,251
San Mateo,2013,745842,-0.1145163441861868,583248.444,*****,529074,2441
Santa Barbara,2013,432485,-0.1751995647017482,334743.39,*****,260928,414
Santa Clara,2013,1861489,0.1015345272432832,1422177.5960000001,*****,1178520,7816
Santa Cruz,2013,269714,-0.2067210194212485,213883.202,±0.1,172542,546
Shasta,2013,180106,-0.2240740768731593,140482.68,±0.3,121390,52
Solano,2013,423373,-0.1769641511170439,323880.34500000003,±0.1,267275,325
Sonoma,2013,492751,-0.1635287388781961,387795.037,±0.1,334893,756
Stanislaus,2013,525173,-0.157250049155115,378124.56,±0.1,298876,108
Sutter,2013,94496,-0.2406529007332844,69076.576,*****,58343,10
Tulare,2013,453530,-0.1711240904798544,307946.87,*****,238536,62
Ventura,2013,841501,-0.0959914789644172,631967.2509999999,±0.1,548331,1139
Yolo,2013,206386,-0.2189848175454629,162219.39599999998,±0.4,114271,259
Yuba,2013,74114,-0.2445999815406324,53065.623999999996,±0.3,41654,18
Alameda,2014,1597747,0.0504595107438427,1244644.913,*****,945024,8304
Butte,2014,225737,-0.2152373952756664,179460.915,±0.1,138086,134
Contra Costa,2014,1104732,-0.0450154202852374,838491.588,*****,715671,4233
El Dorado,2014,180132,-0.2240690418372947,141043.356,±0.2,135913,460
Fresno,2014,959645,-0.0731122759959484,678469.015,*****,516116,740
Humboldt,2014,135895,-0.2326357680503581,109123.685,±0.3,93068,221
Imperial,2014,178471,-0.2243907031669486,127606.765,±0.2,117294,27
Kern,2014,867021,-0.0910493976081458,607781.721,±0.1,471196,414
Kings,2014,148974,-0.230102951355269,108006.15,±0.1,72538,23
Lake,2014,66484,-0.2460775709116493,52987.748,±0.9,51366,56
Los Angeles,2014,10037944,1.684947764543118,7658951.272,*****,5816774,28696
Madera,2014,152067,-0.2295039757426143,108727.905,±0.3,84033,85
Marin,2014,261931,-0.2082282380417759,208235.14500000002,±0.1,180602,1866
Mendocino,2014,89569,-0.2416070400296147,69953.389,±0.3,69253,130
Merced,2014,264670,-0.2076978163789692,183151.64,±0.1,143703,91
Monterey,2014,427425,-0.1761794601430779,313302.52499999997,±0.1,259198,509
Napa,2014,140114,-0.2318187366537237,108308.122,±0.2,95647,423
Nevada,2014,99490,-0.2396857865368416,81581.79999999999,±0.4,76068,113
Orange,2014,3125985,0.3464107853420182,2382000.57,*****,1991231,12690
Placer,2014,369910,-0.1873175404411166,282611.24,±0.1,258140,882
Riverside,2014,2280208,0.1826216496342154,1655431.008,*****,1317751,2933
Sacramento,2014,1476829,0.0270431081796726,1109098.579,*****,863881,2229
San Bernardino,2014,2096526,0.1470506704930463,1505305.6679999998,*****,1201860,2295
San Diego,2014,3219710,0.3645611213575563,2482396.4099999997,*****,2045488,8186
San Francisco,2014,846661,-0.0949922180005316,733208.426,±0.1,373808,2618
San Joaquin,2014,712387,-0.1209950797572707,507931.931,±0.1,409085,537
San Luis Obispo,2014,278272,-0.2050637180009126,226235.136,±0.4,189554,476
San Mateo,2014,751906,-0.1133420188983957,587990.492,*****,545796,4491
Santa Barbara,2014,437066,-0.1743124301134614,338289.08400000003,*****,268208,755
Santa Clara,2014,1883691,0.1058340605611491,1439139.924,*****,1204964,16156
Santa Cruz,2014,271559,-0.2063637255300917,215346.28699999998,±0.1,176901,1090
Shasta,2014,180826,-0.2239346451107567,141044.28,±0.3,121875,97
Solano,2014,428671,-0.1759381657320311,327933.315,±0.1,274494,767
Sonoma,2014,496615,-0.1627804550866353,390836.005,±0.1,343411,1821
Stanislaus,2014,528123,-0.1566787662397153,380248.56,±0.1,307763,238
Sutter,2014,95103,-0.2405353520113699,69520.293,*****,59875,34
Tulare,2014,455774,-0.1706895281536995,309470.54600000003,*****,244945,126
Ventura,2014,846456,-0.0950319173217712,635688.4559999999,±0.1,557822,2243
Yolo,2014,206708,-0.2189224605628329,162472.48799999998,±0.4,117003,498
Yuba,2014,74755,-0.244475848541049,53524.579999999994,±0.3,42531,31
Alameda,2015,1622205,0.0551959302505702,1263697.695,*****,962566,13197
Butte,2015,227400,-0.2149153466355614,180783.0,±0.1,139988,178
Contra Costa,2015,1120530,-0.0419560550318528,850482.27,*****,730630,6769
El Dorado,2015,180914,-0.2239176034509075,141655.66199999998,±0.2,137350,679
Fresno,2015,968417,-0.0714135323573429,684670.819,*****,530921,1306
Humboldt,2015,136542,-0.2325104731194213,109643.226,±0.3,94136,455
Imperial,2015,179769,-0.2241393386841728,128534.83499999999,±0.2,122830,42
Kern,2015,873453,-0.0898038071973489,612290.553,±0.1,481923,684
Kings,2015,148817,-0.2301333552256818,107892.325,±0.1,74305,45
Lake,2015,66975,-0.2459824861958997,53379.075000000004,±0.9,51696,90
Los Angeles,2015,10072887,1.6917146590898338,7685612.781,*****,5919211,42952
Madera,2015,152930,-0.2293368512829567,109344.95,±0.3,86283,138
Marin,2015,263888,-0.2078492547653565,209790.96000000002,±0.1,179826,2826
Mendocino,2015,90018,-0.2415200888333386,70304.05799999999,±0.3,69993,294
Merced,2015,266740,-0.2072969500620616,184584.08000000002,±0.1,147554,153
Monterey,2015,429887,-0.1757026809777511,315107.171,±0.1,265100,794
Napa,2015,140654,-0.2317141628319217,108725.542,±0.2,97255,627
Nevada,2015,100341,-0.2395209859398907,82279.62,±0.4,76456,204
Orange,2015,3148491,0.350769189848454,2399150.142,*****,2015540,19338
Placer,2015,373578,-0.1866072130737654,285413.592,±0.1,261815,1356
Riverside,2015,2302000,0.186841784309602,1671252.0,*****,1359641,4510
Sacramento,2015,1495130,0.0305871924626319,1122842.63,*****,886961,3358
San Bernardino,2015,2114182,0.1504698471555199,1517982.676,*****,1236579,3506
San Diego,2015,3248180,0.3700744856292274,2504346.78,*****,2083973,12054
San Francisco,2015,855489,-0.0932826296692948,740853.474,±0.1,374022,4045
San Joaquin,2015,724185,-0.1187103354061229,516343.90499999997,±0.1,422665,867
San Luis Obispo,2015,279620,-0.2048026707568588,227331.06,±0.4,191906,766
San Mateo,2015,758673,-0.1120315539870365,593282.286,*****,555410,6854
Santa Barbara,2015,440902,-0.1735695686682162,341258.148,*****,272577,1069
Santa Clara,2015,1907380,0.1104215591994215,1457238.32,*****,1222380,24812
Santa Cruz,2015,274207,-0.2058509264928109,217446.15099999998,±0.1,178558,1702
Shasta,2015,181253,-0.2238519543294429,141377.34,±0.3,122772,144
Solano,2015,433545,-0.1749942901626554,331661.925,±0.1,282424,1242
Sonoma,2015,499963,-0.162132097391463,393470.881,±0.1,347000,2946
Stanislaus,2015,532534,-0.1558245530397735,383424.48,±0.1,316995,464
Sutter,2015,95421,-0.2404737696496421,69752.751,*****,61151,48
Tulare,2015,458186,-0.1702224317496506,311108.294,*****,251351,201
Ventura,2015,849950,-0.0943552859636673,638312.45,±0.1,566173,3303
Yolo,2015,208343,-0.2186058342690435,163757.59799999997,±0.4,119085,697
Yuba,2015,75374,-0.2443559759564278,53967.784,±0.3,43345,44
Alameda,2016,1641983,0.0590260433016805,1279104.757,*****,997320,18141
Butte,2016,228198,-0.2147608097655652,181417.41,±0.1,144796,245
Contra Costa,2016,1136478,-0.0388676414946343,862586.802,*****,756822,9293
El Dorado,2016,181630,-0.2237789463094071,142216.28999999998,±0.2,142202,927
