Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2012,San Joaquin,699719,0.021628586638630643,498900.0,9.253030303030304,3,37.88,-121.29,382646.0,75.0
2012,San Luis Obispo,272951,-0.27500564941059735,221909.0,7.130985915492958,4,35.17,-120.61,179353.0,82.0
2012,San Mateo,735915,0.04678739144132873,575486.0,7.2368421052631575,1,37.48,-122.2,510352.0,816.0
2012,Santa Barbara,427960,-0.16726332501946498,331241.0,6.660975609756098,3,34.65,-120.0,252663.0,170.0
2012,Santa Clara,1833344,0.8095789152511463,1400675.0,7.451724137931034,3,37.21,-121.83,1140932.0,2511.0
2012,Santa Cruz,267492,-0.27880004424477595,212121.0,5.705555555555556,1,36.98,-121.99,167095.0,154.0
2012,Shasta,178865,-0.3404021382123062,139515.0,4.771428571428571,4,40.6,-122.05,117732.0,19.0
2012,Solano,418963,-0.17351688250675293,320507.0,7.414285714285714,1,38.1,-122.24,257811.0,107.0
2012,Sonoma,488601,-0.12511349956802242,384529.0,7.170588235294118,1,38.44,-122.71,323367.0,238.0
2012,Stanislaus,521723,-0.10209134428359967,375641.0,14.397560975609755,2,37.59,-120.94,290325.0,40.0
2012,Sutter,94718,-0.3988903122573011,69239.0,6.527777777777778,1,39.14,-121.62,56491.0,4.0
2012,Tulare,449884,-0.1520245793985579,305471.0,12.361702127659575,3,36.26,-119.14,230802.0,31.0
2012,Ventura,835510,0.11601302864778017,627468.0,9.764285714285714,5,34.3,-118.93,534659.0,491.0
2012,Yolo,204087,-0.322871047076997,160412.0,8.071428571428571,2,38.59,-121.76,109437.0,87.0
2013,Alameda,1575139,0.6301080015015426,1233334.0,8.589655172413792,3,37.75,-122.04,917322.0,3622.0
2013,Butte,224391,-0.30875831714236385,178840.0,11.0,3,39.69,-121.76,135830.0,69.0
2013,Contra Costa,1090305,0.2931137488849185,830812.0,9.630555555555555,2,37.95,-122.17,698252.0,1929.0
2013,El Dorado,179663,-0.3398474712261046,141215.0,3.08,1,38.98,-120.1,133050.0,212.0
2013,Fresno,953114,0.1977562068999767,675758.0,15.68073394495413,6,36.7,-119.85,503427.0,226.0
